channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error,GT_F_Left_MHz,GT_F_Right_MHz,ACT_F_Star_Left_MHz,ACT_F_Star_Right_MHz,BW_GT_MHz,BW_ACT_MHz,MaxAbs_GT_MHz,MaxAbs_ACT_MHz,M_GT,M_ACT
31,0,31,6,7,12,42,16,17,27,12,6,7,15,42,16,17,27,12,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4611428571428573,2.415314285714286,4.638671874999999,4.876457142857143,2.3193359374999996,2.4611428571428573,13.0,12.0
89,0,35,6,7,18,36,16,17,36,15,6,7,18,36,16,17,36,15,18,0,0,-2.3193359374999996,2.3193359374999996,-2.4611428571428573,2.4284081632653063,4.638671874999999,4.889551020408163,2.3193359374999996,2.4611428571428573,13.0,12.0
125,0,29,6,7,12,39,16,17,24,0,6,7,15,39,16,17,27,0,18,1,0,-2.3193359374999996,2.3193359374999996,-2.4325,2.3083809523809524,4.638671874999999,4.7408809523809525,2.3193359374999996,2.4325,13.0,12.0
60,0,25,6,7,12,36,16,17,27,0,6,7,12,36,16,17,27,6,18,1,0,-2.3193359374999996,2.3193359374999996,-2.403857142857143,2.3302040816326532,4.638671874999999,4.734061224489796,2.3193359374999996,2.403857142857143,13.0,12.0
121,0,32,6,7,9,33,16,17,30,0,6,7,12,33,16,17,30,0,18,1,0,-2.3193359374999996,2.3193359374999996,-2.3956734693877553,2.323657142857143,4.638671874999999,4.719330612244898,2.3193359374999996,2.3956734693877553,13.0,13.0
71,0,30,6,7,18,27,16,17,27,0,6,7,18,27,16,17,27,6,18,1,0,-2.4414062499999996,2.3193359374999996,-2.4611428571428573,2.3302040816326532,4.760742187499999,4.7913469387755105,2.4414062499999996,2.4611428571428573,12.0,12.0
7,0,29,6,7,12,33,15,16,24,15,6,7,15,33,15,16,24,12,21,1,0,-2.3193359374999996,2.0751953124999996,-2.384761904761905,2.1895714285714285,4.394531249999999,4.574333333333334,2.3193359374999996,2.384761904761905,13.0,13.0
22,0,33,6,7,9,33,15,16,27,15,6,7,9,33,15,16,27,15,21,0,0,-2.3193359374999996,2.1972656249999996,-2.346571428571429,2.2037142857142857,4.516601562499999,4.550285714285715,2.3193359374999996,2.346571428571429,13.0,13.0
22,0,32,6,7,12,33,16,17,33,6,6,7,12,33,16,17,33,9,18,1,0,-2.3193359374999996,2.3193359374999996,-2.3956734693877553,2.3752142857142857,4.638671874999999,4.770887755102041,2.3193359374999996,2.3956734693877553,13.0,13.0
55,0,32,6,7,9,36,16,17,33,0,6,7,9,36,16,17,33,3,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4102222222222225,2.3694857142857146,4.638671874999999,4.779707936507937,2.3193359374999996,2.4102222222222225,13.0,12.0
125,0,29,6,7,12,39,16,17,24,0,6,7,15,39,16,17,27,0,18,1,0,-2.3193359374999996,2.3193359374999996,-2.4325,2.3083809523809524,4.638671874999999,4.7408809523809525,2.3193359374999996,2.4325,13.0,12.0
109,0,35,6,7,12,30,16,17,36,15,6,7,12,30,16,17,36,15,18,0,0,-2.3193359374999996,2.3193359374999996,-2.384761904761905,2.4284081632653063,4.638671874999999,4.813170068027212,2.3193359374999996,2.4284081632653063,13.0,12.0
17,0,36,6,7,18,39,16,17,24,0,5,6,3,21,16,17,24,6,18,1,0,-2.3193359374999996,2.1972656249999996,-2.5087619047619047,2.3083809523809524,4.516601562499999,4.817142857142857,2.3193359374999996,2.5087619047619047,13.0,12.0
44,0,29,6,7,15,36,16,17,24,3,6,7,15,36,16,17,27,9,18,1,0,-2.3193359374999996,2.3193359374999996,-2.4284081632653063,2.346571428571429,4.638671874999999,4.774979591836735,2.3193359374999996,2.4284081632653063,13.0,12.0
27,0,36,5,6,0,27,16,17,24,12,5,6,0,27,16,17,24,12,21,0,0,-2.4414062499999996,2.3193359374999996,-2.5246349206349206,2.2892857142857146,4.760742187499999,4.813920634920635,2.4414062499999996,2.5246349206349206,12.0,12.0
106,0,36,6,7,24,42,16,17,36,12,6,7,24,42,16,17,36,12,24,0,0,-2.4414062499999996,2.3193359374999996,-2.4611428571428573,2.346571428571429,4.760742187499999,4.807714285714287,2.4414062499999996,2.4611428571428573,12.0,12.0
54,0,34,6,7,15,33,16,17,33,0,6,7,18,33,16,17,33,6,21,1,0,-2.3193359374999996,2.3193359374999996,-2.415314285714286,2.33384126984127,4.638671874999999,4.749155555555555,2.3193359374999996,2.415314285714286,13.0,12.0
85,0,27,6,7,15,39,16,17,24,3,6,7,18,39,16,17,24,3,21,1,0,-2.3193359374999996,2.1972656249999996,-2.4284081632653063,2.264734693877551,4.516601562499999,4.693142857142858,2.3193359374999996,2.4284081632653063,13.0,12.0
127,0,36,5,6,0,21,16,17,30,3,5,6,0,24,16,17,30,9,18,1,0,-2.4414062499999996,2.1972656249999996,-2.532571428571429,2.3629387755102043,4.638671874999999,4.895510204081633,2.4414062499999996,2.532571428571429,12.0,12.0
