channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error,GT_F_Left_MHz,GT_F_Right_MHz,ACT_F_Star_Left_MHz,ACT_F_Star_Right_MHz,BW_GT_MHz,BW_ACT_MHz,MaxAbs_GT_MHz,MaxAbs_ACT_MHz,M_GT,M_ACT
15,0,35,3,4,3,36,19,20,21,0,3,4,9,36,19,20,21,6,12,1,0,-2.3193359374999996,2.3193359374999996,-2.4452698412698415,2.4040000000000004,4.638671874999999,4.849269841269842,2.3193359374999996,2.4452698412698415,13.0,13.0
95,0,25,3,4,6,15,18,19,12,9,3,4,6,18,18,19,12,9,12,1,0,-2.1972656249999996,2.0751953124999996,-2.3897142857142857,2.232,4.272460937499999,4.621714285714286,2.1972656249999996,2.3897142857142857,14.0,13.0
32,0,29,3,4,0,27,19,20,18,0,3,4,0,27,19,20,18,3,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3817777777777778,2.346857142857143,4.638671874999999,4.728634920634921,2.3193359374999996,2.3817777777777778,13.0,13.0
18,0,28,3,4,0,24,18,19,21,12,3,4,6,24,18,19,21,12,15,1,0,-2.3193359374999996,2.1972656249999996,-2.3897142857142857,2.2895238095238097,4.516601562499999,4.679238095238095,2.3193359374999996,2.3897142857142857,13.0,13.0
14,0,36,2,3,6,27,19,20,24,12,2,3,9,27,19,20,24,12,15,1,0,-2.4414062499999996,2.3193359374999996,-2.5563809523809526,2.4254285714285717,4.760742187499999,4.981809523809524,2.4414062499999996,2.5563809523809526,13.0,12.0
95,0,35,3,4,9,27,19,20,18,0,3,4,9,27,19,20,18,3,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4135238095238094,2.346857142857143,4.638671874999999,4.760380952380952,2.3193359374999996,2.4135238095238094,13.0,13.0
12,0,33,3,4,9,24,19,20,21,9,3,4,12,24,19,20,21,9,15,1,0,-2.3193359374999996,2.3193359374999996,-2.4254285714285713,2.3897142857142857,4.638671874999999,4.815142857142857,2.3193359374999996,2.4254285714285713,13.0,13.0
55,0,34,3,4,12,24,19,20,18,0,3,4,12,27,19,20,21,0,15,1,0,-2.3193359374999996,2.1972656249999996,-2.432571428571429,2.359102040816327,4.516601562499999,4.791673469387756,2.3193359374999996,2.432571428571429,13.0,13.0
4,0,25,3,4,6,21,19,20,18,0,3,4,9,21,19,20,18,0,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3897142857142857,2.3420952380952382,4.638671874999999,4.731809523809524,2.3193359374999996,2.3897142857142857,13.0,13.0
28,0,26,4,5,12,24,18,19,18,12,4,5,12,24,18,19,18,12,15,0,0,-2.1972656249999996,2.0751953124999996,-2.2967142857142857,2.2751428571428574,4.272460937499999,4.571857142857143,2.1972656249999996,2.2967142857142857,14.0,14.0
