channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error,GT_F_Left_MHz,GT_F_Right_MHz,ACT_F_Star_Left_MHz,ACT_F_Star_Right_MHz,BW_GT_MHz,BW_ACT_MHz,MaxAbs_GT_MHz,MaxAbs_ACT_MHz,M_GT,M_ACT
27,0,15,8,9,18,42,16,17,24,6,8,9,18,42,16,17,24,9,24,1,0,-2.0751953124999996,1.3427734374999998,-2.1039999999999996,2.232,3.417968749999999,4.336,2.0751953124999996,2.232,15.0,14.0
119,0,11,6,7,9,36,13,14,24,18,6,7,9,36,13,14,24,21,24,1,0,-2.3193359374999996,1.2207031249999998,-2.33384126984127,1.604,3.540039062499999,3.93784126984127,2.3193359374999996,2.33384126984127,13.0,13.0
69,0,11,8,9,36,57,13,14,42,12,8,9,36,57,13,14,42,15,36,1,0,-2.0751953124999996,1.5869140624999998,-2.1754285714285713,1.6674920634920636,3.662109374999999,3.8429206349206346,2.0751953124999996,2.1754285714285713,15.0,14.0
100,0,11,6,7,12,33,12,13,27,24,6,7,15,36,12,13,27,24,27,1,0,-2.1972656249999996,1.2207031249999998,-2.3302040816326532,0.744,3.417968749999999,3.0742040816326535,2.1972656249999996,2.3302040816326532,14.0,13.0
88,0,13,6,7,0,30,12,13,33,24,6,7,6,30,12,13,33,24,27,1,0,-2.1972656249999996,1.0986328124999998,-2.2606428571428574,1.3173333333333335,3.295898437499999,3.577976190476191,2.1972656249999996,2.2606428571428574,14.0,13.0
84,0,15,6,7,6,27,16,17,21,0,6,7,9,27,16,17,21,6,18,1,0,-2.3193359374999996,2.3193359374999996,-2.346571428571429,2.2778285714285715,4.638671874999999,4.6244000000000005,2.3193359374999996,2.346571428571429,13.0,13.0
122,0,15,6,7,0,18,16,17,15,0,6,7,0,18,16,17,15,0,12,0,0,-2.3193359374999996,1.8310546874999998,-2.3083809523809524,2.2778285714285715,4.150390624999999,4.586209523809524,2.3193359374999996,2.3083809523809524,13.0,13.0
112,0,12,6,7,6,33,12,13,33,21,6,7,6,33,12,13,33,21,27,0,0,-2.1972656249999996,1.0986328124999998,-2.282920634920635,1.174,3.295898437499999,3.456920634920635,2.1972656249999996,2.282920634920635,14.0,13.0
15,0,13,6,7,6,30,12,13,42,24,6,7,6,30,12,13,42,24,27,0,0,-2.1972656249999996,1.3427734374999998,-2.2606428571428574,1.4606666666666668,3.540039062499999,3.7213095238095244,2.1972656249999996,2.2606428571428574,14.0,13.0
52,0,11,7,8,39,45,12,13,54,30,7,8,39,45,12,13,54,30,39,0,0,-2.1972656249999996,1.2207031249999998,-2.232,1.2815,3.417968749999999,3.5135000000000005,2.1972656249999996,2.232,14.0,14.0
