channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error,GT_F_Left_MHz,GT_F_Right_MHz,ACT_F_Star_Left_MHz,ACT_F_Star_Right_MHz,BW_GT_MHz,BW_ACT_MHz,MaxAbs_GT_MHz,MaxAbs_ACT_MHz,M_GT,M_ACT
4,0,11,3,4,0,33,12,13,45,21,3,4,3,33,12,13,45,21,27,1,0,-2.3193359374999996,1.3427734374999998,-2.3468571428571425,1.3890000000000002,3.662109374999999,3.7358571428571428,2.3193359374999996,2.3468571428571425,13.0,13.0
32,0,13,6,7,24,42,15,16,24,21,6,7,24,42,15,16,24,21,24,0,0,-2.0751953124999996,1.8310546874999998,-2.1754285714285713,1.8897142857142857,3.906249999999999,4.065142857142857,2.0751953124999996,2.1754285714285713,15.0,14.0
18,0,12,4,5,21,30,15,16,27,24,4,5,21,30,15,16,27,24,27,0,0,-2.1972656249999996,1.2207031249999998,-2.260761904761905,1.8897142857142857,3.417968749999999,4.150476190476191,2.1972656249999996,2.260761904761905,14.0,14.0
87,0,11,4,5,30,45,15,16,36,27,4,5,33,45,15,16,36,30,36,1,0,-2.1972656249999996,1.5869140624999998,-2.2967142857142857,1.8897142857142857,3.784179687499999,4.186428571428571,2.1972656249999996,2.2967142857142857,14.0,14.0
12,0,15,3,4,6,27,16,17,15,9,3,4,9,27,14,15,18,9,15,1,1,-2.3193359374999996,1.5869140624999998,-2.4135238095238094,1.7944761904761906,3.906249999999999,4.208,2.3193359374999996,2.4135238095238094,13.0,13.0
55,0,15,4,5,18,21,14,15,18,6,4,5,18,21,14,15,18,9,18,1,0,-2.1972656249999996,1.3427734374999998,-2.318285714285714,1.7468571428571429,3.540039062499999,4.065142857142857,2.1972656249999996,2.318285714285714,14.0,13.0
4,0,11,3,4,0,33,12,13,45,21,3,4,3,33,12,13,45,21,27,1,0,-2.3193359374999996,1.3427734374999998,-2.3468571428571425,1.3890000000000002,3.662109374999999,3.7358571428571428,2.3193359374999996,2.3468571428571425,13.0,13.0
28,0,11,4,5,30,33,15,16,36,27,4,5,30,33,15,16,36,27,30,0,0,-1.9531249999999998,1.8310546874999998,-2.318285714285714,1.9849523809523808,3.7841796874999996,4.303238095238095,1.9531249999999998,2.318285714285714,16.0,13.0
65,0,12,5,6,30,39,14,15,30,27,5,6,30,39,14,15,30,27,30,0,0,-2.1972656249999996,1.4648437499999998,-2.232,1.7468571428571429,3.662109374999999,3.978857142857143,2.1972656249999996,2.232,14.0,14.0
4,0,15,3,4,6,21,19,20,15,0,3,4,9,21,19,20,18,0,15,1,0,-2.3193359374999996,2.3193359374999996,-2.3897142857142857,2.3420952380952382,4.638671874999999,4.731809523809524,2.3193359374999996,2.3897142857142857,13.0,13.0
26,0,15,3,4,0,21,19,20,24,6,3,4,0,21,19,20,24,6,18,0,0,-2.1972656249999996,2.3193359374999996,-2.3386938775510204,2.365904761904762,4.516601562499999,4.704598639455782,2.3193359374999996,2.365904761904762,13.0,13.0
54,0,15,3,4,0,27,16,17,18,12,3,4,6,27,16,17,18,15,18,1,0,-2.3193359374999996,1.0986328124999998,-2.3795102040816327,2.0325714285714285,3.417968749999999,4.412081632653061,2.3193359374999996,2.3795102040816327,13.0,13.0
58,0,12,4,5,27,33,14,15,33,15,4,5,27,33,14,15,33,15,27,0,0,-2.1972656249999996,1.7089843749999998,-2.318285714285714,1.7944761904761906,3.906249999999999,4.112761904761904,2.1972656249999996,2.318285714285714,14.0,13.0
36,0,15,4,5,15,24,19,20,15,0,4,5,15,24,19,20,15,3,15,1,0,-2.1972656249999996,1.4648437499999998,-2.318285714285714,2.3182857142857145,3.662109374999999,4.636571428571429,2.1972656249999996,2.3182857142857145,14.0,13.0
98,0,11,5,6,39,45,15,16,45,36,5,6,39,45,15,16,45,36,39,0,0,-2.1972656249999996,1.9531249999999998,-2.232,1.9849523809523808,4.150390624999999,4.216952380952381,2.1972656249999996,2.232,14.0,14.0
90,0,12,5,6,33,39,14,15,39,30,5,6,33,39,15,16,33,30,33,1,0,-2.1972656249999996,1.8310546874999998,-2.232,1.8897142857142857,4.028320312499999,4.121714285714286,2.1972656249999996,2.232,14.0,14.0
44,0,14,5,6,21,30,14,15,27,12,5,6,21,30,14,15,27,15,24,1,0,-2.1972656249999996,1.7089843749999998,-2.213142857142857,1.7825714285714285,3.906249999999999,3.9957142857142856,2.1972656249999996,2.213142857142857,14.0,14.0
20,0,13,4,5,15,30,16,17,21,9,4,5,18,30,16,17,21,9,21,1,0,-2.1972656249999996,1.3427734374999998,-2.2967142857142857,2.0325714285714285,3.540039062499999,4.329285714285714,2.1972656249999996,2.2967142857142857,14.0,14.0
