channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error
37,0,32,6,7,0,27,16,17,18,0,6,7,3,27,16,17,18,3,18,1,0
59,0,26,7,8,18,27,15,16,30,18,7,8,18,27,15,16,30,18,24,0,0
80,0,33,6,7,9,27,16,17,27,0,5,6,3,12,16,17,27,0,9,1,0
99,0,36,6,7,12,33,16,17,24,0,6,7,12,33,16,17,24,6,12,1,0
108,0,36,6,7,0,27,16,17,24,6,6,7,3,30,16,17,24,9,24,1,0
56,0,35,6,7,12,30,16,17,24,0,6,7,12,30,16,17,24,6,18,1,0
81,0,27,6,7,0,27,15,16,27,15,6,7,0,24,15,16,27,15,21,1,0
30,0,29,6,7,0,24,16,17,21,0,6,7,6,24,16,17,21,3,9,1,0
28,0,31,6,7,6,27,15,16,27,18,6,7,6,27,16,17,21,3,21,1,0
3,0,36,5,6,3,15,16,17,18,3,5,6,6,15,16,17,18,6,12,1,0
14,0,35,6,7,12,33,16,17,18,0,6,7,12,33,16,17,18,0,18,0,0
89,0,28,6,7,0,24,15,16,30,15,6,7,0,24,15,16,30,15,18,0,0
96,0,31,6,7,3,18,16,17,15,0,6,7,0,18,16,17,18,0,12,1,0
74,0,29,6,7,9,27,16,17,24,3,6,7,9,27,16,17,24,6,18,1,0
60,0,35,6,7,9,30,15,16,30,18,6,7,9,30,15,16,30,18,21,0,0
53,0,33,6,7,6,27,15,16,24,18,6,7,9,27,15,16,27,18,21,1,0
54,0,35,6,7,6,30,16,17,27,0,6,7,9,30,16,17,27,6,9,1,0
111,0,35,8,9,24,27,15,16,24,18,8,9,24,27,15,16,24,18,24,0,0
36,0,31,6,7,0,15,16,17,21,0,6,7,0,15,16,17,21,0,12,0,0
121,0,26,7,8,21,33,15,16,21,9,7,8,21,33,15,16,21,12,21,1,0
83,0,27,6,7,0,24,15,16,27,12,6,7,6,24,15,16,27,12,18,1,0
26,0,27,7,8,24,27,15,16,30,21,6,7,3,24,16,17,21,3,21,1,0
21,0,34,6,7,6,33,16,17,15,0,6,7,6,33,16,17,15,0,12,0,0
6,0,26,6,7,0,21,15,16,18,0,6,7,0,21,15,16,18,0,15,0,0
21,0,26,9,10,18,33,15,16,27,18,9,10,18,33,15,16,27,18,21,0,0
89,0,26,6,7,0,24,15,16,24,18,6,7,6,24,15,16,24,18,21,1,0
12,0,27,6,7,0,24,15,16,24,9,6,7,0,24,15,16,24,12,18,1,0
44,0,34,6,7,3,33,16,17,24,9,6,7,3,33,16,17,24,6,15,1,0
82,0,26,6,7,0,21,16,17,18,0,6,7,6,24,16,17,18,0,12,1,0
104,0,29,6,7,0,24,16,17,12,0,6,7,0,24,16,17,12,0,12,0,0
59,0,30,6,7,0,24,16,17,15,0,6,7,0,27,16,17,15,0,15,1,0
60,0,35,6,7,9,30,15,16,30,18,6,7,9,30,15,16,30,18,21,0,0
24,0,26,6,7,6,24,16,17,21,0,6,7,9,24,16,17,24,0,15,1,0
36,0,29,9,10,21,42,15,16,24,0,8,9,15,24,15,16,24,0,21,1,0
46,0,30,6,7,0,24,16,17,21,0,6,7,6,27,16,17,21,0,15,1,0
71,0,28,6,7,0,24,15,16,24,15,6,7,0,24,15,16,24,15,18,0,0
127,0,25,7,8,18,33,15,16,18,6,7,8,18,33,15,16,18,9,18,1,0
1,0,29,6,7,6,24,15,16,30,15,6,7,6,24,15,16,30,15,18,0,0
106,0,29,6,7,0,18,15,16,24,12,6,7,0,18,15,16,24,12,15,0,0
42,0,27,7,8,21,33,15,16,27,12,7,8,21,33,15,16,27,12,24,0,0
