channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error
57,0,29,9,10,18,30,13,14,21,9,9,10,18,30,13,14,21,9,18,0,0
103,0,31,7,8,3,18,13,14,24,12,7,8,6,18,14,15,15,3,15,1,0
3,0,31,7,8,3,15,14,15,24,9,7,8,3,15,15,16,12,0,12,1,0
113,0,33,8,9,15,21,14,15,18,6,8,9,15,21,14,15,21,6,18,1,0
99,0,36,7,8,12,27,14,15,15,9,6,7,9,15,14,15,18,9,12,1,0
78,0,28,7,8,0,15,13,14,24,6,7,8,0,18,14,15,9,6,9,1,0
113,0,33,8,9,15,21,14,15,18,6,8,9,15,21,14,15,21,6,18,1,0
96,0,34,7,8,0,18,14,15,21,6,7,8,6,18,14,15,21,9,15,1,0
79,0,32,8,9,15,27,14,15,15,6,7,8,0,18,14,15,15,6,15,1,0
31,0,34,7,8,0,18,15,16,6,0,7,8,0,18,15,16,9,0,6,1,0
39,0,35,8,9,12,15,14,15,21,6,8,9,12,18,15,16,12,0,12,1,0
31,0,27,9,10,18,24,13,14,24,9,9,10,18,24,13,14,24,12,18,1,0
70,0,26,9,10,18,21,13,14,21,12,9,10,18,21,13,14,21,9,18,1,0
25,0,25,8,9,15,24,12,13,39,6,8,9,15,24,12,13,36,6,15,1,0
49,0,30,7,8,0,18,14,15,15,0,7,8,6,18,14,15,18,3,6,1,0
126,0,35,7,8,0,21,15,16,15,0,7,8,0,21,15,16,15,3,12,1,0
125,0,30,7,8,0,15,13,14,24,9,7,8,3,18,13,14,24,9,12,1,0
64,0,32,7,8,0,9,14,15,12,0,7,8,6,9,14,15,15,0,6,1,0
10,0,33,8,9,15,24,13,14,24,15,8,9,15,24,13,14,24,15,18,0,0
35,0,34,8,9,18,27,14,15,21,9,8,9,18,27,14,15,21,12,18,1,0
93,0,29,8,9,12,24,14,15,15,6,7,8,0,15,14,15,18,9,12,1,0
116,0,30,7,8,0,18,14,15,12,3,7,8,0,18,15,16,9,0,9,1,0
85,0,34,7,8,3,18,13,14,24,9,7,8,6,21,13,14,24,9,15,1,0
57,0,31,9,10,15,33,14,15,18,6,9,10,15,33,14,15,18,9,18,1,0
28,0,34,8,9,6,24,13,14,21,6,8,9,6,24,13,14,21,6,15,0,0
51,0,32,7,8,0,18,14,15,12,6,7,8,0,21,14,15,12,9,12,1,0
44,0,31,8,9,6,15,13,14,27,6,8,9,6,15,13,14,27,9,12,1,0
34,0,30,8,9,15,21,14,15,18,9,8,9,15,21,14,15,18,12,15,1,0
93,0,28,10,11,12,45,13,14,21,6,8,9,9,18,13,14,21,12,15,1,1
87,0,31,8,9,3,12,14,15,21,3,8,9,6,12,15,16,9,3,9,1,0
104,0,27,7,8,0,18,13,14,18,6,7,8,0,18,13,14,18,6,15,0,0
23,0,28,8,9,6,18,13,14,27,0,8,9,12,18,13,14,27,6,12,1,0
70,0,34,7,8,3,21,15,16,9,0,7,8,9,21,15,16,9,3,9,1,0
22,0,25,8,9,6,12,14,15,15,0,8,9,6,15,15,16,9,0,9,1,1
54,0,28,9,10,15,33,13,14,24,0,8,9,9,18,13,14,24,6,15,1,0
8,0,34,7,8,6,15,14,15,21,6,7,8,9,15,14,15,21,6,12,1,0
121,0,34,8,9,18,27,13,14,30,18,8,9,18,27,13,14,30,18,21,0,0
115,0,35,7,8,6,24,14,15,18,6,7,8,9,24,14,15,18,9,15,1,0
28,0,25,8,9,9,21,13,14,24,9,8,9,9,21,13,14,24,12,15,1,0
117,0,27,8,9,18,27,13,14,21,9,8,9,18,27,13,14,24,6,18,1,0
109,0,31,8,9,12,21,14,15,15,0,8,9,12,21,14,15,15,0,12,0,0
37,0,27,10,11,15,45,13,14,21,0,10,11,15,45,13,14,21,3,15,1,0
21,0,29,7,8,0,12,14,15,9,0,7,8,0,15,14,15,12,0,6,1,0
89,0,37,5,6,9,18,15,16,18,9,5,6,9,18,16,17,12,3,12,1,0
62,0,29,8,9,15,21,13,14,27,12,8,9,15,21,13,14,27,12,15,0,0
100,0,27,8,9,12,24,13,14,24,12,8,9,12,24,13,14,24,12,18,0,0
113,0,32,8,9,15,24,13,14,21,15,8,9,18,24,13,14,24,15,18,1,0
24,0,37,6,7,12,15,16,17,15,9,6,7,12,15,16,17,18,9,12,1,0
100,0,37,4,5,12,15,16,17,12,6,5,6,12,21,16,17,12,6,12,1,0
50,0,34,7,8,0,18,14,15,18,6,7,8,6,18,14,15,18,9,15,1,0
72,0,30,9,10,3,27,12,13,48,12,9,10,6,27,12,13,48,9,18,1,0
50,0,33,8,9,9,18,13,14,24,0,8,9,12,18,13,14,24,6,12,1,0
7,0,31,9,10,15,30,14,15,21,12,8,9,12,18,15,16,15,6,15,1,0
82,0,33,9,10,15,33,13,14,21,12,8,9,0,18,14,15,15,6,15,1,0
31,0,27,9,10,18,24,13,14,24,9,9,10,18,24,13,14,24,12,18,1,0
69,0,27,8,9,9,24,13,14,15,9,8,9,9,24,14,15,12,6,12,1,0
119,0,27,8,9,9,21,13,14,21,3,8,9,9,21,13,14,21,9,18,1,0
53,0,27,8,9,12,24,13,14,24,12,8,9,15,24,14,15,15,0,15,1,0
51,0,28,9,10,12,21,14,15,12,6,8,9,9,15,14,15,12,9,12,1,0
16,0,36,6,7,9,18,13,14,18,9,6,7,12,18,13,14,18,9,15,1,0
33,0,34,9,10,12,33,13,14,18,9,8,9,9,15,14,15,12,6,12,1,0
60,0,32,8,9,9,18,14,15,15,0,8,9,12,18,14,15,18,0,12,1,0
59,0,25,8,9,15,21,14,15,15,6,8,9,15,24,13,14,24,15,18,1,0
82,0,36,9,10,12,27,13,14,27,3,9,10,12,27,13,14,27,0,18,1,0
24,0,28,9,10,9,27,13,14,24,12,9,10,12,27,13,14,24,9,18,1,0
10,0,26,8,9,15,24,13,14,21,9,8,9,15,24,13,14,21,6,15,1,0
61,0,32,8,9,9,18,13,14,21,6,8,9,9,21,13,14,21,9,15,1,0
53,0,35,7,8,0,18,13,14,24,0,7,8,6,18,13,14,24,6,12,1,0
39,0,36,7,8,9,21,14,15,21,9,7,8,9,24,15,16,12,0,12,1,0
110,0,32,7,8,6,21,14,15,18,6,7,8,6,21,14,15,18,6,9,0,0
62,0,27,8,9,12,21,14,15,18,0,8,9,12,24,14,15,18,0,15,1,0
