channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error
116,0,11,8,9,18,30,12,13,39,0,8,9,21,30,12,13,39,3,24,1,0
42,0,13,9,10,18,27,12,13,45,21,9,10,18,27,13,14,24,21,24,1,0
37,0,14,9,10,24,36,13,14,24,21,9,10,24,36,13,14,24,21,24,0,0
89,0,13,8,9,12,21,14,15,12,6,7,8,6,15,14,15,12,9,12,1,0
72,0,13,8,9,12,21,12,13,42,9,8,9,12,21,12,13,42,12,15,1,0
8,0,12,10,11,27,60,12,13,54,12,10,11,27,60,12,13,54,15,30,1,0
31,0,13,9,10,24,36,12,13,39,21,9,10,24,36,12,13,39,21,24,0,0
87,0,11,7,8,0,21,12,13,39,9,7,8,6,21,12,13,39,12,18,1,0
21,0,11,10,11,27,66,12,13,54,27,10,11,27,66,12,13,54,27,36,0,0
124,0,13,8,9,0,21,12,13,24,9,8,9,3,21,12,13,24,9,15,1,0
105,0,13,10,11,21,51,12,13,27,6,10,11,21,51,12,13,27,6,21,0,0
52,0,15,10,11,21,51,12,13,21,6,10,11,21,51,12,13,21,9,21,1,0
110,0,14,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1
113,0,14,8,9,9,18,12,13,21,6,8,9,12,18,12,13,21,6,12,1,0
82,0,14,9,10,15,24,12,13,24,6,9,10,15,24,12,13,27,9,15,1,0
63,0,12,10,11,27,63,12,13,36,12,10,11,27,63,12,13,36,12,33,0,0
51,0,15,8,9,12,21,14,15,15,6,8,9,12,21,14,15,15,9,15,1,0
17,0,13,9,10,12,33,12,13,36,24,9,10,15,33,12,13,39,24,27,1,0
81,0,12,9,10,18,33,12,13,39,12,9,10,18,33,12,13,39,12,30,0,0
85,0,12,9,10,21,27,12,13,39,9,9,10,21,30,12,13,39,12,24,1,0
52,0,16,7,8,0,15,12,13,30,6,7,8,3,15,14,15,9,3,9,1,1
100,0,15,8,9,12,15,14,15,12,6,8,9,12,15,14,15,12,6,12,0,0
127,0,11,8,9,0,18,12,13,33,6,8,9,0,21,12,13,33,6,15,1,0
27,0,14,8,9,12,18,14,15,21,12,8,9,12,21,15,16,15,0,15,1,0
121,0,12,10,11,21,51,0,0,0,0,10,11,21,51,11,12,51,18,21,0,1
38,0,15,8,9,12,21,14,15,24,15,9,10,21,33,14,15,24,18,21,1,0
99,0,16,7,8,0,12,15,16,9,0,7,8,3,12,17,18,3,0,3,1,1
49,0,11,9,10,33,42,12,13,45,24,9,10,33,42,12,13,45,24,33,0,0
69,0,16,7,8,0,15,0,0,0,0,2,3,0,3,0,0,0,0,0,0,1
46,0,13,9,10,24,36,12,13,30,15,9,10,24,36,12,13,30,15,27,0,0
95,0,11,9,10,27,42,12,13,33,9,9,10,27,42,12,13,33,15,30,1,0
28,0,13,9,10,15,36,12,13,45,21,9,10,15,36,12,13,45,21,33,0,0
113,0,11,7,8,0,18,12,13,36,6,7,8,6,18,13,14,12,6,12,1,0
17,0,13,9,10,12,33,12,13,36,24,9,10,15,33,12,13,39,24,27,1,0
109,0,13,7,8,0,12,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1
49,0,16,7,8,0,21,12,13,30,15,7,8,0,21,12,13,30,15,18,0,0
121,0,15,8,9,6,18,13,14,9,0,7,8,0,9,14,15,6,0,6,1,0
33,0,11,9,10,21,39,12,13,60,24,9,10,24,39,12,13,60,24,33,1,0
117,0,11,10,11,18,51,12,13,42,9,10,11,18,51,12,13,42,9,21,0,0
105,0,15,8,9,9,18,12,13,21,6,8,9,9,18,13,14,9,0,9,1,0
94,0,13,9,10,0,30,12,13,24,9,9,10,3,30,12,13,24,15,21,1,0
73,0,15,8,9,18,27,12,13,24,12,8,9,18,27,12,13,24,12,18,0,0
72,0,12,9,10,24,42,12,13,42,9,9,10,24,42,12,13,42,12,24,1,0
95,0,16,0,0,0,0,0,0,0,0,6,7,0,6,0,0,0,0,0,0,1
21,0,12,10,11,18,57,12,13,51,12,10,11,18,57,12,13,51,15,27,1,0
63,0,15,9,10,18,27,12,13,36,12,9,10,18,30,12,13,36,12,21,1,0
93,0,16,8,9,12,21,12,13,21,6,8,9,15,21,12,13,21,9,15,1,0
14,0,12,9,10,18,30,12,13,36,18,9,10,18,30,12,13,36,18,24,0,0
108,0,11,9,10,27,33,12,13,39,12,9,10,27,33,12,13,39,15,30,1,0
94,0,13,9,10,0,30,12,13,24,9,9,10,3,30,12,13,24,15,21,1,0
