channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error
71,0,11,7,8,39,45,14,15,45,24,7,8,39,45,14,15,45,24,39,0,0
48,0,15,6,7,0,33,13,14,24,12,6,7,3,33,16,17,18,6,18,1,1
38,0,15,8,9,24,39,12,13,36,9,8,9,24,39,12,13,36,12,24,1,0
13,0,15,6,7,6,21,16,17,18,0,6,7,9,21,16,17,21,6,15,1,0
54,0,15,6,7,0,30,14,15,18,12,6,7,6,30,14,15,21,12,18,1,0
56,0,14,6,7,9,30,12,13,27,18,6,7,12,30,14,15,21,9,21,1,1
75,0,11,8,9,30,60,14,15,39,21,6,7,18,33,14,15,39,21,30,0,1
6,0,12,6,7,6,33,14,15,27,15,6,7,9,33,14,15,27,15,24,1,0
84,0,13,6,7,9,33,14,15,27,12,6,7,9,33,14,15,30,12,24,1,0
26,0,14,6,7,0,24,16,17,24,6,6,7,0,24,16,17,24,9,12,1,0
113,0,11,7,8,36,45,13,14,42,36,7,8,36,45,13,14,42,36,42,0,0
45,0,15,6,7,0,24,12,13,33,6,6,7,0,24,16,17,21,6,21,0,1
68,0,13,8,9,21,51,13,14,33,24,8,9,21,51,13,14,33,24,27,0,0
126,0,14,6,7,9,33,14,15,24,15,6,7,9,33,14,15,27,15,24,1,0
126,0,12,6,7,18,36,13,14,33,21,6,7,18,36,13,14,33,21,24,0,0
40,0,14,8,9,18,36,14,15,21,12,8,9,18,36,14,15,21,15,21,1,0
76,0,12,6,7,9,39,14,15,30,21,6,7,9,39,14,15,33,21,24,1,0
1,0,14,6,7,0,24,12,13,30,12,6,7,9,27,12,13,30,15,21,1,1
26,0,13,6,7,0,30,16,17,21,3,6,7,0,30,13,14,24,15,21,0,1
44,0,14,7,8,21,30,13,14,27,12,7,8,21,30,13,14,27,15,24,1,0
34,0,13,6,7,6,33,13,14,27,15,6,7,6,33,13,14,27,18,21,1,0
35,0,14,6,7,0,30,12,13,36,15,6,7,0,30,12,13,36,15,24,0,0
56,0,12,7,8,24,27,14,15,33,21,7,8,21,27,14,15,33,21,24,1,0
81,0,11,6,7,18,45,12,13,48,18,6,7,21,45,12,13,48,18,36,1,0
120,0,15,6,7,0,33,13,14,24,18,6,7,0,33,13,14,24,18,24,0,0
22,0,15,6,7,0,27,16,17,15,0,6,7,0,27,16,17,15,3,15,1,0
109,0,14,6,7,0,36,13,14,27,21,6,7,0,36,13,14,27,21,24,0,0
25,0,14,6,7,0,27,13,14,21,3,6,7,3,27,13,14,24,9,15,1,0
64,0,15,8,9,0,39,13,14,24,9,8,9,0,39,13,14,24,12,21,1,0
112,0,12,7,8,21,33,13,14,33,15,7,8,21,33,13,14,33,15,27,0,0
95,0,14,6,7,3,27,13,14,27,21,6,7,6,27,14,15,24,18,24,1,0
37,0,15,6,7,6,24,14,15,21,12,6,7,9,24,14,15,24,15,18,1,0
114,0,13,6,7,12,33,14,15,27,12,6,7,12,33,14,15,27,15,21,1,0
112,0,13,6,7,3,33,16,17,24,3,6,7,6,33,16,17,24,6,21,1,0
85,0,12,8,9,27,57,14,15,36,24,7,8,24,30,15,16,27,21,27,1,0
81,0,11,6,7,18,45,12,13,48,18,6,7,21,45,12,13,48,18,36,1,0
108,0,14,6,7,3,33,13,14,24,21,6,7,6,33,13,14,24,21,24,1,0
106,0,12,6,7,9,39,13,14,36,12,6,7,12,39,13,14,36,12,36,1,0
117,0,11,6,7,27,45,14,15,39,27,6,7,27,45,14,15,39,27,33,0,0
117,0,12,6,7,18,36,15,16,24,21,6,7,18,36,15,16,24,21,24,0,0
75,0,13,6,7,12,30,13,14,36,21,6,7,12,30,13,14,36,21,27,0,0
55,0,13,6,7,0,36,14,15,27,3,6,7,3,36,14,15,27,9,18,1,0
57,0,12,6,7,0,30,14,15,30,9,6,7,3,30,14,15,30,6,24,1,0
91,0,13,7,8,27,33,14,15,30,18,7,8,27,33,14,15,30,18,30,0,0
68,0,15,6,7,0,33,14,15,21,6,6,7,3,33,14,15,21,12,18,1,0
26,0,12,6,7,0,30,14,15,27,18,6,7,0,30,14,15,27,15,24,1,0
