channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,abs_threshold,warning,error
8,0,16,9,10,24,33,13,14,24,21,8,9,18,27,14,15,24,15,24,1,0
7,0,15,9,10,18,30,12,13,54,18,9,10,18,33,12,13,54,18,24,1,0
90,0,18,7,8,0,21,0,0,0,0,2,3,0,3,0,0,0,0,0,0,1
18,0,14,10,11,18,54,12,13,54,12,10,11,21,54,12,13,54,12,24,1,0
97,0,16,10,11,24,63,12,13,51,15,10,11,24,63,12,13,51,15,33,0,0
58,0,18,6,7,0,6,15,16,9,0,6,7,3,9,19,20,3,0,3,1,1
4,0,18,7,8,0,18,14,15,15,6,7,8,0,18,14,15,15,6,12,0,0
49,0,16,10,11,0,63,12,13,42,15,10,11,0,63,12,13,42,18,33,1,0
60,0,14,10,11,30,69,12,13,48,18,10,11,30,69,12,13,48,21,39,1,0
78,0,14,10,11,21,60,12,13,42,12,10,11,21,60,12,13,42,9,30,1,0
30,0,18,7,8,6,21,15,16,18,0,7,8,9,24,15,16,18,3,9,1,0
97,0,17,10,11,24,54,12,13,39,15,9,10,18,27,12,13,39,15,24,1,0
122,0,19,7,8,0,21,15,16,12,0,7,8,0,21,21,22,3,0,3,0,1
72,0,17,9,10,24,27,12,13,42,15,9,10,24,27,12,13,42,15,24,0,0
33,0,15,10,11,27,72,0,0,0,0,10,11,27,72,11,12,72,33,42,0,1
14,0,15,10,11,24,54,12,13,54,18,9,10,15,27,12,13,54,18,24,1,0
20,0,17,9,10,18,27,12,13,48,12,9,10,18,27,12,13,48,12,18,0,0
126,0,18,10,11,24,57,0,0,0,0,10,11,24,57,11,12,57,21,27,0,1
55,0,17,9,10,24,27,12,13,42,9,9,10,24,30,12,13,42,12,24,1,0
